Job Title,Experience Level,Salary,Location
UI/UX Designer,52,48,New York
Data Analyst,36,19,Austin
Software Engineer,73,85,San Francisco
DevOps Engineer,73,91,San Francisco
Security Analyst,82,62,Remote
Security Analyst,16,60,Remote
Data Scientist,84,48,New York
Business Analyst,77,70,New York
Software Engineer,72,0,Remote
Security Analyst,0,95,New York
BI Developer,50,12,Remote
UI/UX Designer,44,93,San Francisco
Machine Learning Engineer,76,86,New York
Scrum Master,3,50,Austin
BI Developer,61,55,New York
Scrum Master,64,82,San Francisco
UI/UX Designer,31,61,Austin
Cloud Architect,33,31,Remote
UI/UX Designer,91,29,Remote
Business Analyst,94,28,Remote
Data Scientist,71,48,Remote
Database Administrator,38,44,Remote
Cloud Architect,25,92,New York
Technical Lead,33,29,Remote
Database Administrator,53,15,Remote
Data Scientist,2,39,Remote
DevOps Engineer,49,18,Remote
Technical Lead,11,17,Remote
Systems Analyst,64,0,Remote
BI Developer,53,77,Remote
Cloud Architect,4,46,Austin
Security Analyst,93,65,New York
Security Analyst,93,91,San Francisco
UI/UX Designer,56,93,San Francisco
IT Manager,16,37,Remote
Data Analyst,46,50,Austin
Data Scientist,22,62,Austin
Security Analyst,78,3,Remote
Frontend Developer,100,0,Austin
Data Engineer,84,7,Austin
Data Engineer,13,28,Austin
Business Analyst,65,54,Austin
Business Analyst,74,2,Austin
BI Developer,50,31,Remote
Scrum Master,37,9,Remote
Security Analyst,63,73,Remote
Security Analyst,97,82,New York
BI Developer,37,33,Remote
UI/UX Designer,49,96,New York
Data Scientist,97,86,New York
UI/UX Designer,81,54,Austin
DevOps Engineer,29,91,San Francisco
IT Manager,78,31,Remote
Database Administrator,90,49,Remote
Machine Learning Engineer,50,6,Austin
Software Engineer,62,92,New York
Database Administrator,97,7,Austin
UI/UX Designer,51,64,Remote
BI Developer,37,56,Remote
Security Analyst,96,66,Austin
BI Developer,87,87,New York
Technical Lead,78,86,San Francisco
Full Stack Developer,29,58,Austin
Technical Lead,50,71,New York
Data Analyst,80,53,Remote
BI Developer,4,100,San Francisco
Security Analyst,28,66,New York
Business Analyst,3,50,Austin
Machine Learning Engineer,9,96,San Francisco
Data Scientist,55,91,San Francisco
Machine Learning Engineer,16,7,Remote
Data Scientist,73,33,Remote
Full Stack Developer,16,34,Austin
QA Engineer,83,95,San Francisco
Security Analyst,87,87,San Francisco
UI/UX Designer,68,77,Austin
Database Administrator,33,31,Remote
Cloud Architect,5,45,Remote
BI Developer,52,15,Remote
IT Manager,65,67,Remote
Data Scientist,76,36,Remote
Security Analyst,42,53,Austin
Frontend Developer,74,84,San Francisco
Scrum Master,22,13,Remote
Full Stack Developer,54,94,New York
Software Engineer,79,54,Remote
Software Engineer,94,47,Austin
Backend Developer,74,81,San Francisco
Scrum Master,15,6,Remote
Database Administrator,7,73,Remote
Data Analyst,3,6,Remote
QA Engineer,3,32,Remote
Data Scientist,55,22,Remote
Network Engineer,24,84,San Francisco
Data Scientist,66,18,Austin
Data Engineer,95,18,Remote
Security Analyst,66,35,Remote
Scrum Master,26,28,Remote
Machine Learning Engineer,92,59,New York
BI Developer,31,81,San Francisco
IT Manager,49,1,Remote
IT Manager,60,0,Remote
Frontend Developer,50,46,Remote
Full Stack Developer,18,68,New York
QA Engineer,20,19,Remote
Software Engineer,4,10,Remote
BI Developer,81,1,Remote
Business Analyst,91,66,New York
Data Engineer,41,86,San Francisco
IT Manager,60,11,Remote
Full Stack Developer,21,19,Austin
QA Engineer,20,4,Remote
BI Developer,69,36,Austin
Data Scientist,0,37,Remote
UI/UX Designer,4,93,San Francisco
QA Engineer,11,8,Austin
Data Scientist,89,97,San Francisco
BI Developer,45,52,Remote
Technical Lead,33,43,Remote
Systems Analyst,48,98,San Francisco
BI Developer,77,85,New York
Database Administrator,89,23,Remote
Full Stack Developer,44,80,Remote
Technical Lead,26,73,Remote
Network Engineer,72,29,Austin
Data Analyst,25,58,Remote
Systems Analyst,46,86,San Francisco
Data Analyst,85,95,New York
IT Manager,55,80,Remote
Database Administrator,93,80,Remote
Data Scientist,62,13,Remote
Business Analyst,47,8,Austin
DevOps Engineer,60,39,Remote
Security Analyst,80,65,Austin
Cloud Architect,25,24,Remote
Systems Analyst,35,72,Remote
BI Developer,0,21,Remote
Technical Lead,7,3,Remote
Backend Developer,98,25,Remote
Cloud Architect,51,57,Remote
Machine Learning Engineer,78,28,Remote
Backend Developer,46,97,San Francisco
UI/UX Designer,55,86,New York
Data Scientist,85,36,Remote
Database Administrator,13,74,Remote
Full Stack Developer,89,69,Remote
Security Analyst,27,17,Remote
Full Stack Developer,86,84,New York
Frontend Developer,77,41,Remote
Scrum Master,87,99,New York
Network Engineer,1,40,Remote
Data Analyst,25,37,Austin
Data Analyst,13,33,Remote
Scrum Master,58,16,Remote
IT Manager,55,36,Remote
UI/UX Designer,6,24,Remote
Systems Analyst,2,75,New York
Software Engineer,22,86,New York
Network Engineer,17,85,San Francisco
DevOps Engineer,37,84,San Francisco
Data Engineer,98,26,Remote
Data Scientist,14,56,Remote
Database Administrator,63,30,Remote
QA Engineer,88,5,Remote
Frontend Developer,100,90,San Francisco
Frontend Developer,27,39,Remote
Data Engineer,73,97,San Francisco
Cloud Architect,38,11,Remote
Machine Learning Engineer,56,52,Remote
Software Engineer,16,70,Remote
Backend Developer,85,9,Remote
UI/UX Designer,89,44,Remote
Network Engineer,43,16,Remote
BI Developer,24,25,Austin
Database Administrator,16,84,San Francisco
UI/UX Designer,12,91,San Francisco
Security Analyst,83,61,Austin
Backend Developer,24,45,Remote
Technical Lead,67,63,Remote
Systems Analyst,9,1,Remote
Scrum Master,66,53,Austin
IT Manager,17,64,New York
Scrum Master,99,50,New York
Data Engineer,85,52,New York
QA Engineer,33,35,Remote
Business Analyst,7,25,Remote
Frontend Developer,39,28,Remote
QA Engineer,82,20,Remote
Data Scientist,41,10,Remote
Data Scientist,40,39,Remote
Network Engineer,100,10,Remote
Data Analyst,5,35,Remote
Security Analyst,51,58,Remote
Database Administrator,25,38,Remote
Backend Developer,63,98,New York
QA Engineer,97,53,Remote
Data Scientist,58,97,San Francisco
Security Analyst,55,54,Remote
Cloud Architect,58,23,Remote
Data Engineer,69,21,Remote
BI Developer,100,68,Remote
Frontend Developer,32,55,Remote
Security Analyst,52,32,Remote
Scrum Master,21,35,Remote
Data Engineer,20,19,Remote
Full Stack Developer,69,82,San Francisco
Data Engineer,69,98,San Francisco
Network Engineer,3,80,New York
IT Manager,93,61,New York
Full Stack Developer,74,97,San Francisco
UI/UX Designer,61,72,New York
Data Engineer,61,25,Remote
Frontend Developer,93,65,Austin
Security Analyst,94,72,New York
Security Analyst,23,72,Remote
QA Engineer,54,39,Austin
Cloud Architect,8,16,Remote
Machine Learning Engineer,2,0,Remote
Data Scientist,30,88,New York
Data Engineer,39,60,Austin
Systems Analyst,100,42,Austin
Data Engineer,35,41,Austin
Machine Learning Engineer,23,24,Remote
Data Analyst,94,38,Austin
UI/UX Designer,5,34,Austin
Systems Analyst,65,2,Remote
Scrum Master,83,100,San Francisco
Data Scientist,91,43,Austin
Data Engineer,74,50,Remote
Backend Developer,3,93,San Francisco
Machine Learning Engineer,78,97,New York
Security Analyst,5,11,Remote
Security Analyst,93,18,Remote
Data Analyst,50,100,New York
IT Manager,61,43,Austin
UI/UX Designer,56,58,Austin
Frontend Developer,65,48,Austin
Technical Lead,78,60,New York
BI Developer,74,16,Remote
Data Scientist,7,73,New York
Data Scientist,25,56,Remote
Scrum Master,50,54,Austin
DevOps Engineer,44,46,Austin
Data Engineer,43,11,Remote
Frontend Developer,4,61,Austin
BI Developer,69,79,Austin
Data Scientist,25,87,New York
Data Scientist,67,82,San Francisco
Database Administrator,18,7,Remote
Systems Analyst,83,94,New York
DevOps Engineer,96,20,Remote
Frontend Developer,19,80,Remote
Backend Developer,11,86,San Francisco
Frontend Developer,46,100,San Francisco
Full Stack Developer,0,79,Remote
Data Analyst,89,69,Remote
Scrum Master,13,71,Remote
Technical Lead,63,24,Remote
BI Developer,37,81,San Francisco
IT Manager,36,88,San Francisco
Database Administrator,10,11,Remote
Systems Analyst,99,14,Remote
Data Analyst,76,58,New York
Scrum Master,2,25,Remote
Business Analyst,32,25,Austin
Cloud Architect,5,46,Remote
Machine Learning Engineer,49,31,Remote
QA Engineer,9,9,Austin
Technical Lead,4,15,Austin
Backend Developer,22,70,Austin
DevOps Engineer,9,16,Austin
Machine Learning Engineer,43,22,Remote
QA Engineer,1,25,Remote
Machine Learning Engineer,12,84,San Francisco
Systems Analyst,39,85,New York
Data Engineer,1,6,Remote
Business Analyst,83,13,Remote
BI Developer,64,78,Remote
IT Manager,62,6,Austin
BI Developer,100,8,Austin
Security Analyst,72,47,Remote
Machine Learning Engineer,16,71,Austin
Technical Lead,8,58,Remote
IT Manager,74,86,San Francisco
Cloud Architect,14,92,New York
Data Engineer,23,81,San Francisco
Frontend Developer,37,94,San Francisco
IT Manager,34,93,New York
Backend Developer,93,38,Remote
BI Developer,94,98,San Francisco
Business Analyst,48,17,Remote
IT Manager,68,58,New York
IT Manager,61,16,Remote
UI/UX Designer,59,13,Remote
Security Analyst,49,30,Remote
Backend Developer,77,23,Austin
Scrum Master,74,98,San Francisco
IT Manager,8,59,Remote
Machine Learning Engineer,33,44,New York
Frontend Developer,75,97,San Francisco
Business Analyst,98,2,Remote
Scrum Master,34,36,Austin
Frontend Developer,0,42,Austin
Business Analyst,39,39,Remote
